,youtuber,subscribers,videoviews,category,title,uploads,country,channeltype,views30d,lowestmonthlyearnings,highestmonthlyearnings,lowestyearlyearnings,highestyearlyearnings,subs30d,education_country,population,unemploymentrate,urbanpopulation,latitude,longitude,date
0,T-Series,245000000,"228000000000,0",Music,T-Series,20082,India,Music,"2258000000,0","564600,0","9000000,0","6800000,0","108400000,0","2000000,0","28,1","1366417754,0","5,36","471031528,0","20,593684","78,96288",2006/3/13
2,MrBeast,166000000,"28368841870,0",Entertainment,MrBeast,741,United States,Entertainment,"1348000000,0","337000,0","5400000,0","4000000,0","64700000,0","8000000,0","88,2","328239523,0","14,7","270663028,0","37,09024","-95,712891",2012/2/20
3,Cocomelon - Nursery Rhymes,162000000,"164000000000,0",Education,Cocomelon - Nursery Rhymes,966,United States,Education,"1975000000,0","493800,0","7900000,0","5900000,0","94800000,0","1000000,0","88,2","328239523,0","14,7","270663028,0","37,09024","-95,712891",2006/9/1
4,SET India,159000000,"148000000000,0",Shows,SET India,116536,India,Entertainment,"1824000000,0","455900,0","7300000,0","5500000,0","87500000,0","1000000,0","28,1","1366417754,0","5,36","471031528,0","20,593684","78,96288",2006/9/20
8,Like Nastya,106000000,"90479060027,0",People & Blogs,Like Nastya Vlog,493,Russia,People,"48947000,0","12200,0","195800,0","146800,0","2300000,0","100000,0","81,9","144373535,0","4,59","107683889,0","61,52401","105,318756",2016/1/14
9,Vlad and Niki,98900000,"77180169894,0",Entertainment,Vlad and Niki,574,United States,Entertainment,"580574000,0","145100,0","2300000,0","1700000,0","27900000,0","600000,0","88,2","328239523,0","14,7","270663028,0","37,09024","-95,712891",2018/4/23
10,Zee Music Company,96700000,"57856289381,0",Music,Zee Music Company,8548,India,Music,"803613000,0","200900,0","3200000,0","2400000,0","38600000,0","1100000,0","28,1","1366417754,0","5,36","471031528,0","20,593684","78,96288",2014/3/12
11,WWE,96000000,"77428473662,0",Sports,WWE,70127,United States,Sports,"714614000,0","178700,0","2900000,0","2100000,0","34300000,0","600000,0","88,2","328239523,0","14,7","270663028,0","37,09024","-95,712891",2007/5/11
13,BLACKPINK,89800000,"32144597566,0",People & Blogs,BLACKPINK,543,South Korea,Music,"498930000,0","124700,0","2000000,0","1500000,0","23900000,0","700000,0","94,3","51709098,0","4,15","42106719,0","35,907757","127,766922",2016/6/29
15,Sony SAB,83000000,"101000000000,0",Shows,Sony SAB,71270,India,Entertainment,"1657000000,0","414300,0","6600000,0","5000000,0","79600000,0","1100000,0","28,1","1366417754,0","5,36","471031528,0","20,593684","78,96288",2007/8/4
17,BANGTANTV,75600000,"20826993957,0",Music,BANGTANTV,2281,South Korea,Music,"168290000,0","42100,0","673200,0","504900,0","8100000,0","400000,0","94,3","51709098,0","4,15","42106719,0","35,907757","127,766922",2012/12/17
19,Justin Bieber,71600000,"30608119724,0",Music,Justin Bieber,249,Canada,Music,"176326000,0","44100,0","705300,0","529000,0","8500000,0","100000,0","68,9","36991981,0","5,56","30628482,0","56,130366","-106,346771",2007/1/15
20,HYBE LABELS,71300000,"28634566938,0",Music,HYBE LABELS,1337,South Korea,Music,"598173000,0","149500,0","2400000,0","1800000,0","28700000,0","900000,0","94,3","51709098,0","4,15","42106719,0","35,907757","127,766922",2008/6/4
21,Zee TV,70500000,"73139054467,0",Entertainment,Zee TV,129204,India,Entertainment,"1707000000,0","426800,0","6800000,0","5100000,0","81900000,0","900000,0","28,1","1366417754,0","5,36","471031528,0","20,593684","78,96288",2005/12/11
22,Pinkfong Baby Shark - Kids' Songs & Stories,68200000,"38843229963,0",Education,Pinkfong Baby Shark - Kids' Songs & Stories,2865,United States,Education,"473387000,0","118300,0","1900000,0","1400000,0","22700000,0","600000,0","88,2","328239523,0","14,7","270663028,0","37,09024","-95,712891",2011/12/14
24,ChuChu TV Nursery Rhymes & Kids Songs,65900000,"45757850229,0",Education,ChuChu TV Nursery Rhymes & Kids Songs,633,India,Education,"420292000,0","105100,0","1700000,0","1300000,0","20200000,0","500000,0","28,1","1366417754,0","5,36","471031528,0","20,593684","78,96288",2013/2/9
25,Shemaroo Filmi Gaane,65600000,"28648024439,0",Music,Shemaroo Filmi Gaane,8502,India,Music,"254961000,0","63700,0","1000000,0","764900,0","12200000,0","400000,0","28,1","1366417754,0","5,36","471031528,0","20,593684","78,96288",2010/6/11
26,Colors TV,64600000,"61510906457,0",Shows,Colors TV,112915,India,Entertainment,"1188000000,0","296900,0","4800000,0","3600000,0","57000000,0","1100000,0","28,1","1366417754,0","5,36","471031528,0","20,593684","78,96288",2008/6/13
28,Dude Perfect,59500000,"16241549158,0",Sports,Dude Perfect,389,United States,Sports,"141200000,0","35300,0","564800,0","423600,0","6800000,0","100000,0","88,2","328239523,0","14,7","270663028,0","37,09024","-95,712891",2009/3/17
29,Movieclips,59500000,"59316472754,0",Film & Animation,Movieclips,39113,United States,Film,"114668000,0","28700,0","458700,0","344000,0","5500000,0","100000,0","88,2","328239523,0","14,7","270663028,0","37,09024","-95,712891",2006/4/28
30,Tips Official,59300000,"33431802698,0",Music,Tips Official,4741,India,Music,"422634000,0","105700,0","1700000,0","1300000,0","20300000,0","600000,0","28,1","1366417754,0","5,36","471031528,0","20,593684","78,96288",2007/5/22
31,El Reino Infantil,58400000,"57271630846,0",Music,El Reino Infantil,1510,Argentina,Music,"611828000,0","153000,0","2400000,0","1800000,0","29400000,0","600000,0","90,0","44938712,0","9,79","41339571,0","-38,416097","-63,616672",2011/6/2
32,Wave Music,58000000,"40602020243,0",Music,Wave Music,19487,India,Music,"232025000,0","58000,0","928100,0","696100,0","11100000,0","500000,0","28,1","1366417754,0","5,36","471031528,0","20,593684","78,96288",2014/10/29
